german,english,hungarian,type,⍨,,
"h abgeben, abgaben, abgegeben, abgibst, abgibt",to hand over,"átadni, leadni (szavazatot); eladni; odaadni (ingyen)",verb,2014-05-08,,
"s abhauen, abhieben/abhauten, abgehauen/abgehaut",to scram (colloquial),lelépni (informális),verb,2014-05-15,,
"h abheben, abhoben, abgehoben","to take off, lift off","to lift off;  to answer (phone); to withdraw (banking), to cut (card games)",verb,2014-10-14,,
h abheften,to file,lefűzni,verb,2014-05-01,,
h abholen,"to collect, to pick up, to fetch (sth)","elhozni (vmit vhonnan), beugrani (vmiért)",verb,2014-05-07,,
"s ablaufen, abliefen, abgelaufen, abläufst, abläuft","to expire, to run off",lejár,verb,2014-07-29,,
h ablehnen,"to decline, to reject",elutasítani,verb,2014-05-01,,
h ablösen,supersede,"leváltani, felváltani vkit",verb,2014-05-18,,
h abmalen,"to depict, to portray",lefest,verb,2014-05-07,,
"h abnehmen, abnahmen, abgenommen, abnimmst, abnimmt",to decrease; to lose weight; to accept; to detach,"csökkenni; leadni (súlyt, feladatot); átvenni; leválasztani",verb,2014-05-07,,
h abschaffen,"to abolish, to annul",megszüntetni,verb,2014-05-01,,
h abschalten,to turn off,lekapcsolni,verb,2014-05-07,,
h abschicken,"to send, to post; to submit",elküldeni; beküldeni,verb,2014-05-07,,
h abschleppen,to tow,elvontatni,verb,2014-05-01,,
"h abschließen, aufschlossen, aufgeschlossen, abschließt, abschließt","to end, to finish, to complete",bezárni; lezárni,verb,2014-06-04,,
"h abschreiben, abschrieben, abgeschrieben, abscriebst, abschriebt",to transcribe; to plagiarize,"lemásolni, leírni valakiről; plagizálni",verb,2014-05-07,,
"h absprechen, absprachen, abgesprochen, absprichst, abspricht + sich (A) + über (A)",to talk over,"átbeszélni, megbeszélni",verb,2014-05-10,,
h abstellen,to put down; to park,lerakni; leparkolni,verb,2014-05-01,,
"s absterben, abstarben, abgestorben, abstirbst, abstirbt",to die out,kihalni,verb,2014-05-09,,
h abtransportieren,to transport away; to evacuate,elszállítani,verb,2014-05-01,,
h abwarten,"to await, to wait for; to wait around","kivárni, várakozni",verb,2014-05-01,,
h achten,to watch,figyelni,verb,2014-05-10,,
h achten + auf (A),to watch (sth),figyelni (vmit),verb,2014-05-10,,
s ähnlich sein + (D),"to be alike, to look like sth/sb",hasonlítani vkire/vmire,verb,2014-10-15,,
"h an|tun, antun, antust, antut, antun, antut, antun, antaten, angetan","to do something to someone, to do sb. a mischief, to do violence to sb.",elkövetni,verb,2014-08-24,,
h anbauen,"to grow, to cultivate",termeszteni,verb,2014-05-01,,
"h anbieten, anboten, angeboten",to offer,felajánlani,verb,2014-05-01,,
"h anbringen, anbrachten, angebracht","to fix, to attach","rögzíteni, felerősíteni",verb,2014-05-07,,
h anfragen,"to ask, to inquire",érdeklődni,verb,2014-05-10,,
h anfragen + bei (D),"to ask someone, to inquire with someone",érdeklődni valakinél,verb,2014-05-10,,
"h angeben, angaben, angegeben, angibst, angibt","to state, to declare",állítani; megadni (információt),verb,2014-10-01,,
h Angst haben + vor (D),to fear sth/sb,félni vmitől,verb,2014-10-15,,
h anhalten,"to stop; to remain, to continue to be (in a state)","megállítani; megállni, parkolni; fennállni (állapot)",verb,2014-05-01,,
"h anheben, anhoben, angehoben",to lift up,megemelni vmit,verb,2014-05-07,,
h ankreuzen,"to tick, to check",kipipálni,verb,2014-10-06,,
"h annehmen, annahmen, angenommen, annimmst, annimmt",to accept; to receive; to assume,átvenni; átvállalni; feltételezni,verb,2014-05-07,,
h anpacken,to tackle,belekezdeni valamibe,verb,2014-08-24,,
h anschauen,to look at; to behold; to observe (visually); to view,megnézni,verb,2014-05-18,,
h anschnellen,to view,bekötni (biztonsági övet),verb,2014-05-15,,
h ansehen,to watch (eg. movie),megnézni,verb,2014-07-30,,
h ansehen + sich (D),"to inspect, to view",megfigyelni,verb,2014-05-10,,
h ansehen + sich (D) + (A),"to inspect (sb), to view (sb)","megfigyelni (vkit), megnézni (vkit)",verb,2014-05-10,,
"h ansprechen, ansprachen, angesprochen, ansprichst, anspricht",to address,megszólítani (vkit); vkihez fordulni,verb,2014-05-05,,
"h anspringen, ansprangen, angesprungen",to start (car); to ignite,beindulni (autó),verb,2014-10-08,,
"h Anteil nehmen, Anteil nehmen, Anteil nahmen, Anteil genommen, Anteil nimmst, Anteil nimmt",to commiserate,részvétet nyilvánítani,verb,2014-09-10,,
h antworten auf,to reply to (sthg); to respond to (sthg),válaszlni (vmire),verb,2014-05-10,,
h anvertrauen,to entrust,rábizni (vmit vkire),verb,2014-06-04,,
h anzeigen,"to report (sb), to indicate",feljelenteni (vkit),verb,2014-05-10,,
h ätzen,"to etch, to corrode","karcolni, marni",verb,2014-10-16,,
h aufbauen,"to build, to construct, to erect; to set up, to put up",építeni; felállítani,verb,2014-05-01,,
"h aufbringen, aufbrachten, aufgebracht","to bring up sth, to raise sth",felvetni vmit; pénzt szerezni vmihez,verb,2014-05-05,,
"h aufbringen, aufbrachten, aufgebracht","to bring up, to raise (topic); to muster",felhozni (témát); mustrálni,verb,2014-05-07,,
"s auffallen, auffielen, aufgefallen, auffälllst, auffällt",to stand out,kitűnni,verb,2014-05-01,,
"s auffallen, auffielen, aufgefallen, auffälllst, auffällt + (D)",to notice,észrevenni,verb,2014-05-01,,
h auffordern,"to prompt, to request",felszólítani,verb,2014-05-01,,
h aufgaben,to give up,feladni,verb,2014-10-10,,
"h aufgeben, aufgaben, aufgegeben, aufgibst, aufgibt",to give up,feladni,verb,2014-10-14,,
"s aufgehen, aufgingen, aufgegangen",to open (forcefully or suddenly); to rise (sun),"kinyílni (hirtelen, vagy nem akar, stb...), kicsapódni; felkel (nap)",verb,2014-05-18,,
h aufhalten + sich (A),to stay,tartózkodni,verb,2014-08-11,,
"h aufheben, aufhoben, aufgehoben",to pick up (sth lying on the ground),felvenni vmit (földről),verb,2014-05-07,,
h aufholen,"to catch up, to make up for",behozni (lemaradást),verb,2014-05-07,,
h aufhören,to stop,"abbamaradni, abbahagyni",verb,2014-05-01,,
h aufhören,to stop,abbamaradni; abbahagyni,verb,2014-05-09,,
"h aufladen, auflud, aufgeladen, auflädst, auflädt",to upload,feltölteni,verb,2014-05-01,,
h aufmachen,to open,kinyitni,verb,2014-05-07,,
"h aufnehmen, aufnahmen, aufgenommen, aufnimmst, aufnimmt",to acquire,felvenni (kapcsolatot is),verb,2014-05-01,,
"h aufnehmen, aufnahmen, aufgenommen, aufnimmst, aufnimmt",to record; to pick up,"felvenni (telefont, műsort, utast)",verb,2014-05-07,,
h aufpassen,to watch out; to look after (sthg),"vigyázni, odafigyelni",verb,2014-05-09,,
h aufräumen,to clean,"rendet rakni, kitakarítani",verb,2014-05-01,,
h aufregen,"to annoy, to upset","felidegesíteni, felbosszantani",verb,2014-05-09,,
"h aufrufen, aufriefen, aufgerufen",to call for,felhívni (nem tel.),verb,2014-05-01,,
h aufschreiben,to mark down; to prescribe (med.),felírni,verb,2014-05-07,,
s aufsteigen,"to get on; to mount, to move upwards","felszállni, felmászni",verb,2014-05-07,,
h aufstellen,to establish,létrehozni,verb,2014-05-01,,
s aufwachen,to wake up,felébredni,verb,2014-10-11,,
h aufwecken,to wake up,fölébreszteni,verb,2014-05-01,,
h aufwecken,to wake sb,feléreszteni,verb,2014-10-11,,
h ausarbeiten,"to elaborate, to work out, to calculate, to develop",kidolgozni,verb,2014-08-20,,
h ausdrücken + sich (A),to express oneself,kifejezni magát,verb,2014-10-08,,
"h ausgeben, ausgaben, ausgegeben, ausgibst, ausgibt",to hand out,kiadni,verb,2014-05-09,,
"s ausgehen, ausgingen, ausgegangen",to go out; to run out; to fall out,"elmenni (vhova, informális); kifutni (vmiből), kihullani (haj)",verb,2014-05-18,,
h auskennen + sich (A),"to know, to know well",kiismerni,verb,2014-05-01,,
h ausmachen,to open; to shut down; to negotiate,kinyitni; kikapcsolni; egyeztetni,verb,2014-05-09,,
h ausmisten,to muck out ,kiganéjozni,verb,2014-05-01,,
"h ausnehmen, ausnahmen, ausgenommen, ausnimmst, ausnimmt","to gut sth (colloquial); to fleece (colloquial), to clean sb out",kizsigerelni; kifosztani (informális); kijátszani (informális); kicsalni,verb,2014-05-07,,
h ausschalten,to turn off,kikapcsolni,verb,2014-05-01,,
h ausschalten,to turn off,kikapcsolni,verb,2014-05-05,,
h ausschlafen + sich (A),"to sleep in, to sleep enough",kialudni,verb,2014-05-07,,
"h aussehen, aussahen, ausgesehen, aussiehst, aussieht","to appear, to seem",látszani,verb,2014-10-08,,
h äußern + sich (A),to express oneself,kifejezni magát,verb,2014-10-08,,
h ausstrecken + sich (A),to stretch,kinyújzkodni magát,verb,2014-10-18,,
h aussuchen,"to look for, to pick","kikeresni, kiválasztani",verb,2014-05-01,,
h austauschen,to exchange; to replace; to substitute,cserélni; kicserélni; helyettesíteni,verb,2014-05-24,,
"h austrinken, austranken, ausgetrunken","to empty (a glass), to finish a drink",kiinni,verb,2014-05-07,,
h auswählen,to pick,kiválasztani,verb,2014-05-01,,
h auswählen,"to choose, to select",kiválasztani,verb,2014-05-10,,
h auszeichnen,"to distinguish; to honour, to award, to decorate",kijelölni; kitüntetni; feltüntetni,verb,2014-06-04,,
"h backen, buken/backen, gebacken, bäckst/backst, bäckt/backt",to bake; to roast,sütni,verb,2014-10-12,,
h beachten,"to mind; to note, to observe; to consider",figyelni; figyelembevenni,verb,2014-05-08,,
h beauftragen,"to hire, to employ; to instruct; to commission",megbizni (vkit vmivel),verb,2014-06-04,,
h bedanken + sich (A),to thank,megköszönni,verb,2014-05-07,,
h bedecken,to blanket; to cover,betakarni,verb,2014-05-29,,
h bedrängen,to pressurize,megszorongatni,verb,2014-05-01,,
h beeilen + sich (A),to hurry,sietni,verb,2014-08-20,,
h beeindrucken,to impress,jó benyomást kelteni,verb,2014-10-09,,
h beeinflussen,to influence,befolyásol,verb,2014-05-01,,
"h befehlen, befahlen, befohlen, befiehlst, befiehlt",to command; to order,parancsolni,verb,2014-10-12,,
h befragen,"to question, to interview, to interrogate",kikérdezni,verb,2014-06-04,,
s befreundet sein + mit (D),to be friends with sb,barátságban lenni,verb,2014-10-18,,
s begegnen,"to meet, encounter, to run into sth/sb",belefutni vkibe/vmibe,verb,2014-10-11,,
"h beginnen, begannen, begonnen",to begin,kezdeni,verb,2014-10-12,,
"h beginnen, begannen, begonnen + mit (D)",to begin sth,elkezdeni vmit,verb,2014-10-12,,
"h begleiten, begleitete, begleitet",to escort,elkísérni,verb,2014-05-05,,
h begreifen,"to understand, to realize","felfogni (átvitt), megérteni",verb,2014-10-14,,
"h behalten, behielten, behalten",to keep,megtartani,verb,2014-05-09,,
s behilflich sein + (D),to help (sophisticated),segíteni (szofisztikált),verb,2014-10-18,,
"h beibringen, beibrachten, beigebracht",to teach; to break news carefully,"tanítani, közelebb hozni",verb,2014-05-01,,
"h beißen, bissen, gebissen",to bite,harapni,verb,2014-10-12,,
h bejahen,to affirm; to approve,igenel (feltétel nélkül),verb,2014-05-24,,
"h bekannt geben, bekannt gaben, bekannt gegeben, bekannt gibst, bekannt gibt",to divulge; to publicize,nyilvánosságra hozni,verb,2014-05-24,,
h/s bekommen,to recieve,"kapni, megkapni",verb,2014-10-09,,
h beleuchten," to light, to illuminate","megvilágítani, kivilágítani",verb,2014-05-01,,
h bemerken,to notice,észrevenni,verb,2014-05-05,,
h benachrichtigen,to notify,értesiteni,verb,2014-06-04,,
"h benehmen, benahmen, benommen, benimmst, benimmt + sich (A)",to behave oneself,viselkedni,verb,2014-05-07,,
h benutzen,to use,használni,verb,2014-05-10,,
h bereuen,to regret,megbánni,verb,2014-08-20,,
"h bergen, bargen, geborgen, birgst, birgt","to save sb, to rescue; to salvage, to recover",elrejteni,verb,2014-10-12,,
h berichten,to report,"tudósítani, beszámolni, jelenteni",verb,2014-05-24,,
"s bersten, barsten, geborsten, birst, birst",to burst,robbanni; kitörni,verb,2014-10-12,,
h beschädigen,to damage,megkárosítani; tönkretenni,verb,2014-05-01,,
h beschädigen,to damage,"megrongál, sérülést okoz",verb,2014-09-14,,
h beschäftigen,to employ sb,foglalkoztatni,verb,2014-05-01,,
h beschäftigen + sich (A),to concern oneself,foglalkozni,verb,2014-05-01,,
h Bescheid wissen,"to be aware, to know",tisztában lenni vele,verb,2014-08-20,,
h Bescheid geben,to give feedback,"szólni, visszajelezni",verb,2014-08-20,,
h beschweren + sich (A),to complain,"panaszkodni, panaszt tenni",verb,2014-05-01,,
h besichtigen,to visit,meglátogatni,verb,2014-05-01,,
h besiegen,"to defeat, to overcome",legyőzni,verb,2014-05-01,,
h besitzen,"to own, to have, to posses","birtokolni, tulajdonolni",verb,2014-05-10,,
"h besitzen, besaß, besessen",to own,birtokolni,verb,2014-08-11,,
"h besprechen, besprachen, besprochen, besprichst, bespricht",to discuss,megbeszélni,verb,2014-05-01,,
s besser gefallen,to like more,jobban tetszeni,verb,2014-10-18,,
h bestätigen,to confirm,igazolni; visszaigazolni,verb,2014-05-01,,
h bestechen,to bribe,"megvesztegetni, lepénzelni",verb,2014-10-14,,
"h bestehen, bestanden, bestanden",to pass,átmenni,verb,2014-05-01,,
h bestimmen,to determine,meghatározni,verb,2014-05-09,,
h betreiben,"to operate, to run (a business)","űzni (ipart), üzemeltetni",verb,2014-05-18,,
"h betrügen, betrogen, betrogen","to cheat, to defraud","csalni, megcsalni",verb,2014-10-14,,
h betten,to bed,ágyazni,verb,2014-05-01,,
h beugen,"to flex, to bend",hajlítani,verb,2014-05-01,,
h beurteilen,"to judge; to evaluate, to estimate",megítélni,verb,2014-08-29,,
h bevorzugen,to prefer,előnyben részesít,verb,2014-05-01,,
h bewegen,to move,"mozogni, mozgatni",verb,2014-05-08,,
"h bewegen, bewogen/bewegten, bewogen/bewegt",to persuade ,rábírni (vkit vmire),verb,2014-05-08,,
h beweisen,to prove,bebizonyítani,verb,2014-08-31,,
"h bewerben, bewarben, beworben, bewirbst, bewirbt + sich (A)",to apply,jelentkezni,verb,2014-05-01,,
"h biegen, bogen, gebogen",to bend,meggörbülni (anyag),verb,2014-10-12,,
"s biegen, bogen, gebogen","to turn, to round a corner",kanyart bevenni; bekanyarodni,verb,2014-10-12,,
"h bieten, boten, geboten",to offer; to present,ajánlani,verb,2014-06-06,,
"s bin, bist, ist, sein, seid, sein, waren, gewesen",to be,lenni,verb,2014-05-11,,
"h binden, banden, gebunden",to bind,kötni (nem ruhát); bekötni (cipőt/könyvet),verb,2014-08-31,,
"h bitten + um + (A), baten, gebeten",to ask sb for sthg,megkérni vmire vkit,verb,2014-05-11,,
"h bitten, baten, gebeten","to ask, to beg",kérni,verb,2014-05-08,,
"h blasen, bliesen, geblasen, bläst, bläst",to blow; to fellate (vulgar),fújni (hangszert is); szopni (vulgáris),verb,2014-10-12,,
"s bleiben, blieben, geblieben",to remain; to stay; to keep being sth,maradni,verb,2014-10-11,,
h Bock haben + auf (A),to be in the mood for sth,kedvet érezni vmihez/vmire,verb,2014-10-14,,
s böse sein + auf (A),to be angry at sb,dühösnek lenni vkire,verb,2014-10-11,,
"h braten, brieten, gebraten, brätst, brät",to fry; to roast; to grill; to broil; to bake,kisütni,verb,2014-10-12,,
"h brechen, brachen, gebrochen, brichst, bricht","to break, to get broken",összetörni vmit,verb,2014-10-12,,
"s brechen, brachen, gebrochen, brichst, bricht","to break, to get broken",összetörni,verb,2014-10-12,,
"h brennen, brannten, gebrannt",to burn,égni,verb,2014-05-10,,
"h bringen, brachten, gebracht",to bring,hozni,verb,2014-05-01,,
h bügeln,to iron,vasalni,verb,2014-05-01,,
h canceln,to cancel,lemondani,verb,2014-05-01,,
h checken,to check,ellenőrizni,verb,2014-05-01,,
h danken,to thank,megköszönni,verb,2014-10-08,,
"h darf, darfst, darf, dürfen, dürft, dürfen, durften, gedurft",to be allowed (auxiliary),megengedve lenni (segédige),verb,2014-10-12,,
"s davonlaufen, davonliefen, davongelaufen, davonläufst, davonläuft",to run away,"elmenekülni, elfutni, elszaladni",verb,2014-10-14,,
"h dazubringen, dazubrachten, dazugebracht",to persuade,rávenni,verb,2014-05-07,,
h dazuholen,to bring sthg to (sb),odahozni (vkit vmihez),verb,2014-05-07,,
"h dazunehmen, dazunahmen, dazugenommen, dazunimmst, dazunimmt",to add (sthg to sthg),hozzáadni (vmit vmihez),verb,2014-05-07,,
"h delegieren, delegierten, delegiert",to delegate,delegálni,verb,2014-05-01,,
"h denken, dachten, gedacht + an (A)",to think about sth; to consider sth,gondolni; gondolkozni vmin,verb,2014-10-08,,an (A)
"h denken, dachten, gedacht",to think; to consider,gondolni; gondolkozni vmin,verb,2014-10-08,,
h danken,to thank,megköszönni,verb,2014-10-12,,
"h denken, dachten, gedacht + sich (D)",to think to oneself,magában gondolni,verb,2014-10-08,,
h diskutieren,to discuss,megvitatni; megbeszélni,verb,2014-05-08,,
h diskutieren + über (A),to discuss sth,megvitatni vmit; megbeszélni vmit,verb,2014-05-08,,
"s drangehen, drangingen, drangegangen",to pick up (phone),felvenni (telefont),verb,2014-05-11,,
h drängeln,to tail (slang),"másik seggében menni, bevágni, cikk-cakkozni",verb,2014-05-01,,
h drängen,to press; to push,furakodni; tolni (tipikusan autóval),verb,2014-05-01,,
"s drankommen, drankamen, drangekommen",to come before sb,sorra kerülni,verb,2014-05-24,,
"h dreschen, droschen, gedroschen, drischst, drischt",to trash,csépelni (agrár és átvitt is),verb,2014-10-12,,
"h dringen, drangen, gedrungen",to get through,átjutni,verb,2014-10-12,,
h drucken,to print,kinyomtatni,verb,2014-05-08,,
h drücken,to press; to hug,"nyomni, tolni; megölelni",verb,2014-05-10,,
h/s durch|drehen,to freak out,megőrülni; meghülyülni,verb,2014-06-04,,
"s durch|fallen, durchfielen, durchgefallen, durchfällst, durchfällt",to fail (a class),megbukni,verb,2014-05-09,,
h durch|führen,to show around,körbevezetni,verb,2014-05-01,,
s durch|gehen,to walk through,"végigvenni, átvenni",verb,2014-05-07,,
s durch|gucken,"to look through, to peep through, to be seen through","keresztülnézni, keresztüllátszani",verb,2014-06-04,,
h durch|leuchten,to screen,átvilágítani,verb,2014-05-01,,
"h durch|nehmen, durchnahmen, durchgenommen, durchnimmst, durchnimmt",to go over a topic,"átvenni (tananyagot, témát)",verb,2014-05-07,,
h durch|rechnen,to recalculate,"átszámolni, végigszámolni",verb,2014-05-07,,
h durch|schauen,to see through (situation or personality too),átlátni (helyzeten v. személyen is),verb,2014-06-04,,
"h durch|schlafen, durchschliefen, durchgeschlafen",to sleep through,átaludni (vmt vagy éjszakára vonatkozik),verb,2014-05-11,,
"h durchbrechen, durchbrachen, durchbrochen",to break through; to break in half,áttörni; kettétörni,verb,2014-05-07,,
"h durchbringen, durchbrachten, durchgebracht","to bring through; to carry sth through, to pull sth through",átvinni (vmin vmit),verb,2014-05-07,,
h durchchecken,to check through,"ellenőrizni, átvizsgálni",verb,2014-10-14,,
h durchlesen,to read through,végigolvasni,verb,2014-05-07,,
h durchsetzen + sich (A),to prevail,szándékot érvényesteni; győzödelmeskedni,verb,2014-06-06,,
h durchsuchen,to search,megmotozni; átkutatni,verb,2014-05-10,,
h duzen,to address with the familiar form ,tegezni,verb,2014-07-06,,
h eichen,to calibrate,"beállítani, kalibrálni",verb,2014-10-14,,
h einarbeiten,"to train, to incorporate",betanítani,verb,2014-05-01,,
h einarbeiten,"to work in, to train sb.",betanítani,verb,2014-10-10,,
h einbilden + sich (D),"to fancy sth., to imagine sth.",beképzelni,verb,2014-08-31,,
"h einbringen, einbrachten, eingebracht","to insert, to introduce","bevinni (pl ötletet, elvont)",verb,2014-05-07,,
h eincremen,to cream,bekrémezni,verb,2014-05-01,,
"s einfallen, einfielen, eingefallen, einfällst, einfällt + (D)",to come to mind; to remember,eszébe jut,verb,2014-08-31,,
h einführen,to introduce,bevezetni,verb,2014-05-07,,
h einhalten,to adhere to sth; to comply with sth,betartani,verb,2014-08-31,,
s einig sein,"to agree in sth, to have the same opinion on sth","egyetérteni vmiben, egy véleményen lenni",verb,2014-10-11,,
s einigen,to agree,megegyezni,verb,2014-10-11,,
h einkleiden,"to clothe, to buy/need new clothes",ruhatár lecserélése,verb,2014-08-06,,
"h/s einlaufen, einliefen, eingelaufen, einläufst, einläuft",to schrink,összemegy,verb,2014-05-07,,
"h einlesen, einlasen, eingelesen",to read in (data); to input,beolvasni (adatot),verb,2014-05-18,,
"h einnehmen, einnahmen, eingenommen, einnimmst, einnimmt",to conquer; to take (food or medicine),bevenni,verb,2014-05-07,,
h einpacken,"to wrap up, to pack up",bepakolni,verb,2014-05-07,,
s einreisen,to enter a country,beutazni,verb,2014-05-07,,
h einrichten,to furnish; to arrange,bebútorozni,verb,2014-05-08,,
s einrosten,to rust,berozsdásodni,verb,2014-08-02,,
h einschätzen," to estimate, to assess",nem tudni megsaccolni vmit,verb,2014-08-24,,
h einschätzen,"to estimate, to assess","értékelni vkit, kiértékelni vkit; megsaccolni, megtippelni",verb,2014-08-24,,
s einschlafen,"to sleep in, to sleep late",elaludni (nem felkelni időben),verb,2014-05-11,,
h einsetzen,to deploy sb/sth; to apply sb/sth,használni; bevetni,verb,2014-08-24,,
h einstecken,to plug in,bedugni,verb,2014-05-05,,
h einstecken,to stick in one's pocket; to plug in,"zsebrevágni; bedugni (kábelt, konnektort)",verb,2014-05-09,,
"s eintreten, eintratten, eingetreten, eintrittst, eintritt",to enter,belépni,verb,2014-05-07,,
s einverstanden sein,to agree,"beleegyezni, egyetérteni",verb,2014-06-06,,
"h/s einziehen, einzogen, eingezogen",to move in,beköltözni,verb,2014-05-24,,
"h empfangen, empfingen, empfangen"," to receive; to greet, to welcome",fogadni (nem sport),verb,2014-05-01,,
"h empfinden, empfanden, empfunden",to feel,vhogy érezni,verb,2014-05-18,,
h engagieren + sich (A),to be committed,valaminek szenteli magát,verb,2014-09-10,,
h entfernen,to remove,elvinni; eltüntetni; levenni (listáról),verb,2014-05-10,,
h entfernen + sich (A),"to leave, to go off",eltünni; lelépni,verb,2014-05-10,,
"s entfliehen, entflohen, entflohen",to escape,"elszökni, megszökni",verb,2014-05-07,,
h entlassen,"to lay off, to fire; to release sb (from an institute)",kirúgni; kiengedni (intézményből),verb,2014-10-09,,
h entlasten,"to relieve, to ease; to exonerate",levenni; tehermentesíteni,verb,2014-05-07,,
"s entlaufen, entliefen, entlaufen, entläufst, entläuft",to run away,elszaladni,verb,2014-05-07,,
"h entnehmen, entnahmen, entnommen, entnimmst, entnimmt",to take from,elvenni vmit vmiből,verb,2014-05-07,,
"h entscheiden, entschieden, entschieden",to decide,eldönteni,verb,2014-10-09,,
"h entscheiden, entschieden, entschieden",to decide sth,dönteni vmiről,verb,2014-05-01,,
"h entscheiden, entschieden, entschieden + sich (A)",to decide,"dönteni, döntést hozni",verb,2014-05-01,,
s enttäuscht sein + von (D),to be disappointed in/with/by/to sb/sth,csalódni vkiben,verb,2014-10-18,,
h enttäuschen,to disappoint,csalódást okozni,verb,2015-03-29,,
"h entwerfen, entwarfen, entworfen",to draft,előállítás (tervezés+gyártás),verb,2014-05-01,,
h erbauen,"to build, to construct",megépíteni,verb,2014-05-07,,
"s erbleichen, erbleichten/erblichen, erblichen",to blanch,elsápadni,verb,2014-10-12,,
"h erbringen, erbrachten, erbracht",to produce result,"teljesíteni, eredményt hozni",verb,2014-05-07,,
h erdrücken,"to crush, to squeeze dead, to kill by squeezing","összetörni, összeroppantani",verb,2014-05-10,,
"h erfahren, erfuhren, erfahren, erfährst, erfährt",to learn; to experience,"megtudni; megtapasztalni, tapasztalni",verb,2014-05-08,,
h erfüllen,to grant; to fulfill; to accomplish,teljesíteni; véghezvinni,verb,2014-05-10,,
"h erhalten, erhielten, erhalten, erhältst, erhält",to keep; to receive,megtartani; megkapni,verb,2014-05-24,,
h erhöhen,to raise; to increase,felnevelni; növelni,verb,2014-05-10,,
h erholen,to recover,kipihenni,verb,2014-05-07,,
h erkennen,"to recognize, to realize",felismerni,verb,2014-10-08,,
s erkranken,to fall sick,megbetegedni,verb,2014-05-07,,
h erleben,to experience,megtapasztalni,verb,2014-05-10,,
h erledigen,"to take care of, to handle; to finish, to complete",elintézni,verb,2014-05-01,,
h erledigen,to get sthg done,elintézni,verb,2014-05-09,,
s erledigt sein,to be ready,kész lenni (átv. is),verb,2014-05-09,,
h erlernen,"to learn, to master",megtanulni,verb,2014-05-07,,
h ermöglichen,"to enable, to make possible",lehetővé tenni,verb,2014-05-08,,
"s erschrecken, erschraken, erschrocken, erschrickst, erschrickt",to scare,megijeszteni,verb,2014-05-01,,
h ersteigern,to purchase at auction,aukción vásárolni,verb,2014-10-17,,
h erwähnen,to mention,megemlíteni,verb,2014-05-01,,
h erwarten,to expect; to await,elvárni,verb,2014-05-05,,
h erwischen,to catch,elkapni,verb,2014-05-01,,
h erzählen,to tell,elmesélni,verb,2014-05-05,,
"h essen, aßen, gegessen, isst/ißt, isst/ißt",to eat,enni,verb,2014-10-12,,
"s fahren, fuhren, gefahren, fährst, fährt",to drive; to travel,utazni,verb,2014-10-12,,
"h fahren, fuhren, gefahren, fährst, fährt + (A)",to drive sth,vezetni vmit; elvinni vkit vhova,verb,2014-10-12,,
"s fallen, fielen, gefallen, fällst, fällt","to fall, to drop",esni; összeesni,verb,2014-10-12,,
"h/s falsche liegen, falsche lagen, falsche gelegen",to make a mistake,tévedni; hibázni,verb,2014-05-01,,
"h fangen, fingen, gefangen, fängst, fängt",to catch,elkapni,verb,2014-10-12,,
"h fechten, fochten, gefochen, drischst, drischt",to fence,elkeríteni,verb,2014-10-12,,
h fehlen,to lack; to be absent,hiányozni; hiányolni,verb,2014-06-06,,
h fehlen + (D) + an (D),to lack,hiányozni,verb,2014-08-06,,
"h festhalten, festhielten, festgehalten, festhältst, festhält",to retain; to detain,megragadni; megfogni; visszatartani,verb,2014-06-04,,
h festlegen,"to set, to determine",kikötni,verb,2014-05-10,,
"h festnehmen, festnahmen, festgenommen, festnimmst, festnimmt",to arrest,letartóztatni,verb,2014-05-07,,
h festsetzen,to set,"megállapítani, megállapodni",verb,2014-05-01,,
"h finden, fanden, gefunden",to find,"találni, megtalálni",verb,2014-10-12,,
"h fliegen, flogen, geflogen","to fly sth, to pilot",repülni; repülővel utazni,verb,2014-10-12,,
"s fliegen, flogen, geflogen","to fly, to travel",repülőt vezetni,verb,2014-10-12,,
"h fliehen, flohen, geflohen",to flee from sb; to avoid,"elkerülni vkit, kerülni vkit",verb,2014-10-12,,
"s fliehen, flohen, geflohen","to flee, to escape; to diverge","elszökni, megszökni; eltérni",verb,2014-10-12,,
"s fließen, flossen, geflossen",to flow,"folyik, ömlik",verb,2014-10-12,,
h foltern,to torture,kínozni,verb,2014-05-01,,
h fordern,to demand,követelni,verb,2014-05-01,,
h fördern,"to support; to promote, to foster","támogatni, előmozdítani",verb,2014-05-06,,
h Freude machen,"to gladden, to make sb glad",örömet okozni,verb,2014-08-06,,
h freuen,"to be glad, to be happy",örülni,verb,2014-08-02,,
h freuen + sich (A) + auf (A),to look forward,örömmel várni vmit,verb,2014-06-06,,
h freuen + sich (A) + über (A),to be glad ,örülni vminek,verb,2014-08-02,,
"h frieren, frohen, gefrohen",to freeze,"fázni (személy); hidegnek lenni (időjárás, hőmérséklet)",verb,2014-10-12,,
"s frieren, frohen, gefrohen",to freeze,megfagyni (anyag),verb,2014-10-12,,
h fürchten + sich (A) + vor (D),to be afraid of sth/sb,tartani vmitől,verb,2014-10-15,,
h füttern,to feed,etetni,verb,2014-05-01,,
"h gebären, gebaren, geboren, gebierst/gebärst, gebiert/gebärt","to give birth to, to bear",szülni,verb,2014-10-12,,
"h geben, gaben, gegeben, gibst, gibt",to give,adni,verb,2014-10-12,,
